code,year,avg_coverage,median_coverage,doses_sum,target_sum,coverage_count,avg_incidence_rate,incidence_count,total_cases
ABW,2017,96.32,97.0,15846.0,16492.0,25.0,2.375,8.0,2.0
ABW,2018,91.2,93.5,23734.0,25829.0,40.0,5.127272727272727,11.0,6.0
ABW,2019,91.75,93.0,23193.0,25239.0,40.0,1.86,10.0,2.0
ABW,2021,88.3495238095238,91.87,21278.0,24112.0,42.0,0.0,12.0,0.0
ABW,2022,88.75,91.59,20250.0,22828.0,42.0,3.1,12.0,4.0
ABW,2023,88.22953488372093,93.2,19857.0,23000.0,43.0,1.86,10.0,2.0
AFG,1980,10.142857142857142,4.0,0.0,0.0,14.0,786.06,5.0,52656.0
AFG,1981,4.230769230769231,3.0,0.0,0.0,13.0,823.72,5.0,50018.0
AFG,1982,7.0,5.0,0.0,0.0,16.0,580.34,5.0,33403.0
AFG,1983,9.5,7.0,0.0,0.0,6.0,729.75,4.0,33860.0
AFG,1984,13.8125,13.5,0.0,0.0,16.0,520.175,4.0,23836.0
AFG,1985,15.9375,15.0,0.0,0.0,16.0,634.4,4.0,30977.0
AFG,1986,15.0,14.0,0.0,0.0,16.0,344.35,4.0,17573.0
AFG,1987,24.9375,25.0,0.0,0.0,16.0,392.325,4.0,18498.0
AFG,1988,32.875,35.0,0.0,0.0,16.0,233.45,4.0,11067.0
AFG,1989,31.375,33.0,0.0,0.0,16.0,63.175,4.0,3056.0
AFG,1990,22.9375,25.0,0.0,0.0,16.0,41.839999999999996,5.0,2570.0
AFG,1991,22.714285714285715,22.0,0.0,0.0,14.0,22.160000000000004,5.0,1359.0
AFG,1992,23.166666666666668,21.0,0.0,0.0,6.0,,0.0,0.0
AFG,1993,22.125,18.0,0.0,0.0,16.0,,0.0,0.0
AFG,1994,17.125,12.0,0.0,0.0,16.0,,0.0,0.0
AFG,1995,28.166666666666668,25.5,0.0,0.0,6.0,,0.0,0.0
AFG,1996,34.125,31.0,0.0,0.0,16.0,,0.0,0.0
AFG,1997,36.9375,38.0,0.0,0.0,16.0,,0.0,19.0
AFG,1998,30.125,31.0,0.0,0.0,16.0,31.099999999999998,6.0,3937.0
AFG,1999,31.235294117647058,30.0,2233011.0,8784432.0,17.0,47.85,6.0,5947.0
AFG,2000,29.25,28.5,1889580.0,7566838.0,20.0,77.03999999999999,5.0,7771.0
AFG,2001,46.05555555555556,43.0,2545809.0,4486140.0,18.0,144.43333333333334,3.0,8984.0
AFG,2002,45.083333333333336,44.85,2727003.0,5659290.0,18.0,45.1,6.0,6359.0
AFG,2003,49.016666666666666,44.0,3151548.0,5988313.0,18.0,8.940000000000001,5.0,1127.0
AFG,2004,49.92380952380953,50.0,3920363.0,7374295.0,21.0,8.066666666666668,6.0,1216.0
AFG,2005,59.95,58.0,4831525.0,7656610.0,20.0,30.02,5.0,3696.0
AFG,2006,62.6,59.0,5250073.0,6745355.0,20.0,27.3,7.0,4861.0
AFG,2007,62.350833333333334,63.0,6396071.0,7984221.0,24.0,40.82857142857143,7.0,7429.0
AFG,2008,66.21739130434783,65.0,6178873.0,8357402.0,23.0,24.72857142857143,7.0,4562.0
AFG,2009,67.45148148148148,64.0,7426846.0,9730916.0,27.0,20.983333333333334,6.0,3419.0
AFG,2010,70.33333333333333,66.0,8029326.7333,9945640.0,27.0,6.809090909090909,11.0,2111.0
AFG,2011,74.65115384615385,76.5,8404480.0,11411277.0,26.0,19.242857142857144,7.0,3884.0
AFG,2012,77.92592592592592,81.0,10170194.0,11685096.0,27.0,24.099999999999998,6.0,4388.0
AFG,2013,79.31481481481481,82.0,10998515.0,11961241.0,27.0,3.527272727272727,11.0,1222.0
AFG,2014,79.13888888888889,86.5,15789603.0,17713694.0,36.0,2.1444444444444444,9.0,619.0
AFG,2015,81.10138888888889,91.5,16174416.0,17514567.0,36.0,5.21,10.0,1751.0
AFG,2016,69.952,77.25,12745740.0,17284050.0,40.0,3.1857142857142855,7.0,763.0
AFG,2017,73.147,80.5,17591831.0,22264690.0,40.0,8.94,5.0,1580.0
AFG,2018,76.07111111111111,82.45,22145772.0,27251597.0,45.0,10.271428571428572,7.0,2667.0
AFG,2019,74.80454545454546,83.0,22569011.0,27964899.0,44.0,2.725,4.0,432.0
AFG,2020,75.20673913043478,80.86,24885934.0,30574082.0,46.0,6.457142857142857,7.0,1921.0
AFG,2021,69.93897959183673,79.62,25368756.0,33131132.0,49.0,19.925,8.0,9312.0
AFG,2022,75.09734693877552,82.04,28431444.0,34518366.0,49.0,18.525,8.0,6613.0
AFG,2023,68.47346153846154,72.78999999999999,28212833.0,40550413.0,52.0,15.3625,8.0,5546.0
AFR,1980,5.142857142857143,6.0,6148219.0,117911438.0,7.0,774.2833333333333,6.0,1642381.0
AFR,1981,12.142857142857142,11.0,14823589.0,120816058.0,7.0,793.1500000000001,6.0,1791159.0
AFR,1982,13.428571428571429,13.0,16725510.0,124217619.0,7.0,763.5833333333334,6.0,1775986.0
AFR,1983,18.571428571428573,19.0,23916985.0,127391916.0,7.0,701.2166666666667,6.0,1697304.0
AFR,1984,23.571428571428573,24.0,30518474.0,130251021.0,7.0,552.1833333333334,6.0,1344417.0
AFR,1985,26.625,31.5,40529510.0,151888156.0,8.0,570.9666666666667,6.0,1410525.0
AFR,1986,31.0,37.0,47771052.0,155026512.0,8.0,342.75,6.0,880989.0
AFR,1987,34.625,42.0,55259633.0,158662512.0,8.0,317.9833333333333,6.0,836841.0
AFR,1988,37.25,45.5,60486015.0,161910544.0,8.0,262.4166666666667,6.0,738010.0
AFR,1989,41.625,51.0,68862699.0,165292012.0,8.0,245.55000000000004,6.0,713328.0
AFR,1990,40.44444444444444,57.0,77150754.0,189008828.0,9.0,209.9333333333333,6.0,601093.0
AFR,1991,36.333333333333336,49.0,70659287.0,193438872.0,9.0,263.01666666666665,6.0,648346.0
AFR,1992,36.44444444444444,50.0,72432834.0,197714629.0,9.0,210.21666666666667,6.0,636887.0
AFR,1993,36.888888888888886,49.0,75474483.0,202527357.0,9.0,150.75,6.0,443785.0
AFR,1994,39.666666666666664,55.0,82135320.0,205438453.0,9.0,149.46666666666667,6.0,455663.0
AFR,1995,39.22222222222222,54.0,83373223.0,210837793.0,9.0,118.93333333333334,6.0,386246.0
AFR,1996,38.44444444444444,51.0,82862505.0,214833680.0,9.0,153.78333333333333,6.0,533086.0
AFR,1997,35.7,51.5,87111434.0,237915379.0,10.0,90.86666666666667,6.0,318679.0
AFR,1998,35.3,50.5,88092461.0,242430161.0,10.0,120.06666666666666,6.0,421794.0
AFR,1999,35.0,49.5,89262657.0,248767546.0,10.0,106.02222222222223,9.0,519358.0
AFR,2000,29.153846153846153,9.0,98282318.0,326897284.0,13.0,183.07999999999998,10.0,629192.0
AFR,2001,29.23076923076923,9.0,101160494.0,334373253.0,13.0,121.75999999999999,10.0,574549.0
AFR,2002,32.46153846153846,24.0,114267853.0,341689772.0,13.0,61.67,10.0,345408.0
AFR,2003,34.0,28.0,122363562.0,349881642.0,13.0,79.87,10.0,441369.0
AFR,2004,36.46153846153846,32.0,134702524.0,358727591.0,13.0,68.49,10.0,277557.0
AFR,2005,38.76923076923077,41.0,146632976.0,368194254.0,13.0,106.65,10.0,368133.0
AFR,2006,37.857142857142854,40.0,157454878.0,406637733.0,14.0,30.872727272727275,11.0,140723.0
AFR,2007,40.714285714285715,50.5,172599987.0,415770788.0,14.0,24.527272727272727,11.0,117868.0
AFR,2008,39.8,39.0,185128157.0,457056964.0,15.0,19.463636363636365,11.0,98707.0
AFR,2009,43.666666666666664,59.0,206917506.0,465923447.0,15.0,16.30909090909091,11.0,125479.0
